prelimQuestion1,ans,wrongAns,wrongAns,wrongAns
prelimQuestion2,ans,wrongAns,wrongAns,wrongAns
prelimQuestion3,ans,wrongAns,wrongAns,wrongAns
prelimQuestion4,ans,wrongAns,wrongAns,wrongAns
prelimQuestion5,ans,wrongAns,wrongAns,wrongAns
prelimQuestion6,ans,wrongAns,wrongAns,wrongAns
prelimQuestion7,ans,wrongAns,wrongAns,wrongAns
prelimQuestion8,ans,wrongAns,wrongAns,wrongAns
prelimQuestion9,ans,wrongAns,wrongAns,wrongAns
prelimQuestion10,ans,wrongAns,wrongAns,wrongAns
prelimQuestion11,ans,wrongAns,wrongAns,wrongAns
prelimQuestion12,ans,wrongAns,wrongAns,wrongAns
prelimQuestion13,ans,wrongAns,wrongAns,wrongAns
prelimQuestion14,ans,wrongAns,wrongAns,wrongAns
prelimQuestion15,ans,wrongAns,wrongAns,wrongAns
prelimQuestion16,ans,wrongAns,wrongAns,wrongAns
prelimQuestion17,ans,wrongAns,wrongAns,wrongAns
prelimQuestion18,ans,wrongAns,wrongAns,wrongAns
prelimQuestion19,ans,wrongAns,wrongAns,wrongAns
prelimQuestion20,ans,wrongAns,wrongAns,wrongAns
prelimQuestion21,ans,wrongAns,wrongAns,wrongAns
prelimQuestion22,ans,wrongAns,wrongAns,wrongAns
prelimQuestion23,ans,wrongAns,wrongAns,wrongAns
prelimQuestion24,ans,wrongAns,wrongAns,wrongAns
prelimQuestion25,ans,wrongAns,wrongAns,wrongAns
prelimQuestion26,ans,wrongAns,wrongAns,wrongAns
prelimQuestion27,ans,wrongAns,wrongAns,wrongAns
prelimQuestion28,ans,wrongAns,wrongAns,wrongAns
prelimQuestion29,ans,wrongAns,wrongAns,wrongAns
prelimQuestion30,ans,wrongAns,wrongAns,wrongAns
prelimQuestion31,ans,wrongAns,wrongAns,wrongAns
prelimQuestion32,ans,wrongAns,wrongAns,wrongAns
prelimQuestion33,ans,wrongAns,wrongAns,wrongAns
prelimQuestion34,ans,wrongAns,wrongAns,wrongAns
prelimQuestion35,ans,wrongAns,wrongAns,wrongAns
prelimQuestion36,ans,wrongAns,wrongAns,wrongAns
prelimQuestion37,ans,wrongAns,wrongAns,wrongAns
prelimQuestion38,ans,wrongAns,wrongAns,wrongAns
prelimQuestion39,ans,wrongAns,wrongAns,wrongAns
prelimQuestion40,ans,wrongAns,wrongAns,wrongAns
prelimQuestion41,ans,wrongAns,wrongAns,wrongAns
prelimQuestion42,ans,wrongAns,wrongAns,wrongAns
prelimQuestion43,ans,wrongAns,wrongAns,wrongAns
prelimQuestion44,ans,wrongAns,wrongAns,wrongAns
prelimQuestion45,ans,wrongAns,wrongAns,wrongAns
prelimQuestion46,ans,wrongAns,wrongAns,wrongAns
prelimQuestion47,ans,wrongAns,wrongAns,wrongAns
prelimQuestion48,ans,wrongAns,wrongAns,wrongAns
prelimQuestion49,ans,wrongAns,wrongAns,wrongAns
prelimQuestion50,ans,wrongAns,wrongAns,wrongAns
quickRoundQ1,ans,wrongAns,wrongAns,wrongAns
quickRoundQ2,ans,wrongAns,wrongAns,wrongAns
quickRoundQ3,ans,wrongAns,wrongAns,wrongAns
quickRoundQ4,ans,wrongAns,wrongAns,wrongAns
quickRoundQ5,ans,wrongAns,wrongAns,wrongAns
quickRoundQ6,ans,wrongAns,wrongAns,wrongAns
quickRoundQ7,ans,wrongAns,wrongAns,wrongAns
quickRoundQ8,ans,wrongAns,wrongAns,wrongAns
quickRoundQ9,ans,wrongAns,wrongAns,wrongAns
quickRoundQ10,ans,wrongAns,wrongAns,wrongAns
quickRoundQ11,ans,wrongAns,wrongAns,wrongAns
quickRoundQ12,ans,wrongAns,wrongAns,wrongAns
quickRoundQ13,ans,wrongAns,wrongAns,wrongAns
quickRoundQ14,ans,wrongAns,wrongAns,wrongAns
quickRoundQ15,ans,wrongAns,wrongAns,wrongAns
quickRoundQ16,ans,wrongAns,wrongAns,wrongAns
quickRoundQ17,ans,wrongAns,wrongAns,wrongAns
quickRoundQ18,ans,wrongAns,wrongAns,wrongAns
quickRoundQ19,ans,wrongAns,wrongAns,wrongAns
quickRoundQ20,ans,wrongAns,wrongAns,wrongAns
quickRoundQ21,ans,wrongAns,wrongAns,wrongAns
quickRoundQ22,ans,wrongAns,wrongAns,wrongAns
quickRoundQ23,ans,wrongAns,wrongAns,wrongAns
quickRoundQ24,ans,wrongAns,wrongAns,wrongAns
quickRoundQ25,ans,wrongAns,wrongAns,wrongAns
quickRoundQ26,ans,wrongAns,wrongAns,wrongAns
quickRoundQ27,ans,wrongAns,wrongAns,wrongAns
quickRoundQ28,ans,wrongAns,wrongAns,wrongAns
quickRoundQ29,ans,wrongAns,wrongAns,wrongAns
quickRoundQ30,ans,wrongAns,wrongAns,wrongAns
quickRoundQ31,ans,wrongAns,wrongAns,wrongAns
quickRoundQ32,ans,wrongAns,wrongAns,wrongAns
quickRoundQ33,ans,wrongAns,wrongAns,wrongAns
quickRoundQ34,ans,wrongAns,wrongAns,wrongAns
quickRoundQ35,ans,wrongAns,wrongAns,wrongAns
quickRoundQ36,ans,wrongAns,wrongAns,wrongAns
quickRoundQ37,ans,wrongAns,wrongAns,wrongAns
quickRoundQ38,ans,wrongAns,wrongAns,wrongAns
quickRoundQ39,ans,wrongAns,wrongAns,wrongAns
quickRoundQ40,ans,wrongAns,wrongAns,wrongAns
quickRoundQ41,ans,wrongAns,wrongAns,wrongAns
quickRoundQ42,ans,wrongAns,wrongAns,wrongAns
quickRoundQ43,ans,wrongAns,wrongAns,wrongAns
quickRoundQ44,ans,wrongAns,wrongAns,wrongAns
quickRoundQ45,ans,wrongAns,wrongAns,wrongAns
quickRoundQ46,ans,wrongAns,wrongAns,wrongAns
quickRoundQ47,ans,wrongAns,wrongAns,wrongAns
quickRoundQ48,ans,wrongAns,wrongAns,wrongAns
quickRoundQ49,ans,wrongAns,wrongAns,wrongAns
quickRoundQ50,ans,wrongAns,wrongAns,wrongAns
